model,threshold,metric_name,metric_value,model_name,m,q025,q975,ci_low,ci_high
none,0.02,pn1000,1000.0,none,0,1000.0,1000.0,1000.0,1000.0
none,0.03,pn1000,1000.0,none,0,1000.0,1000.0,1000.0,1000.0
none,0.04,pn1000,1000.0,none,0,1000.0,1000.0,1000.0,1000.0
none,0.05,pn1000,1000.0,none,0,1000.0,1000.0,1000.0,1000.0
none,0.1,pn1000,1000.0,none,0,1000.0,1000.0,1000.0,1000.0
none,0.2,pn1000,1000.0,none,0,1000.0,1000.0,1000.0,1000.0
all,0.005,tp1000,17.2,all,0,13.6,21.009999999999998,13.6,21.009999999999998
all,0.01,tp1000,17.2,all,0,13.6,21.009999999999998,13.6,21.009999999999998
all,0.0141,tp1000,17.2,all,0,13.6,21.009999999999998,13.6,21.009999999999998
all,0.02,tp1000,17.2,all,0,13.6,21.009999999999998,13.6,21.009999999999998
all,0.03,tp1000,17.2,all,0,13.6,21.009999999999998,13.6,21.009999999999998
all,0.04,tp1000,17.2,all,0,13.6,21.009999999999998,13.6,21.009999999999998
all,0.05,tp1000,17.2,all,0,13.6,21.009999999999998,13.6,21.009999999999998
all,0.1,tp1000,17.2,all,0,13.6,21.009999999999998,13.6,21.009999999999998
