sens,metric_name,metric_value,model_name,m,q025,q975,ci_low,ci_high
0.9,thr,0.00863480922489875,fit-age-sex-bloods,0,0.006568131059217248,0.015227451035937093,0.006568131059217248,0.015227451035937093
0.85,thr,0.01306422529200945,fit-age-sex-bloods,0,0.008637974298923563,0.017798282199647228,0.008637974298923563,0.017798282199647228
0.813953488372093,thr,0.0156370992223173,fit-age-sex-bloods,0,0.0155973354957476,0.0155973354957476,0.0155973354957476,0.0155973354957476
0.8,thr,0.0170933033744467,fit-age-sex-bloods,0,0.012658933447498251,0.025989555669450798,0.012658933447498251,0.025989555669450798
0.5,thr,0.0664719306324933,fit-age-sex-bloods,0,0.05293957860608506,0.09200548796957152,0.05293957860608506,0.09200548796957152
0.99,spec,0.2496947496947497,fit-age-sex-bloods,0,0.2433534035105327,0.6326516338654129,0.2433534035105327,0.6326516338654129
0.95,spec,0.6363451363451363,fit-age-sex-bloods,0,0.36999089138314456,0.7542032782469322,0.36999089138314456,0.7542032782469322
0.9,spec,0.6984126984126984,fit-age-sex-bloods,0,0.6350448802678363,0.808779668750958,0.6350448802678363,0.808779668750958
0.85,spec,0.7796092796092796,fit-age-sex-bloods,0,0.6966717628510485,0.836517993101348,0.6966717628510485,0.836517993101348
0.813953488372093,spec,0.8103378103378104,fit-age-sex-bloods,0,0.8066748066748066,0.8066748066748066,0.8066748066748066,0.8066748066748066
0.8,spec,0.8272283272283272,fit-age-sex-bloods,0,0.7706904144705805,0.8827828652435615,0.7706904144705805,0.8827828652435615
0.5,spec,0.9586894586894587,fit-age-sex-bloods,0,0.9399411724795412,0.9736775880606094,0.9399411724795412,0.9736775880606094
